,Timestep,tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS,tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSVAR,tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSSTD
76,2006-03-19,0.15078367292881012,1.9131426811218262,1.3831640481948853
77,2006-03-20,-0.8041671514511108,3.2194066047668457,1.7942705154418945
78,2006-03-21,-4.612462997436523,4.350245952606201,2.085724353790283
79,2006-03-22,1.0554715394973755,3.0222415924072266,1.738459587097168
80,2006-03-23,5.670339584350586,1.4343184232711792,1.1976302862167358
81,2006-03-24,7.426974296569824,1.0953956842422485,1.0466115474700928
82,2006-03-25,8.059793472290039,1.2930301427841187,1.1371148824691772
83,2006-03-26,7.10902214050293,2.5773613452911377,1.6054162979125977
84,2006-03-27,4.540045261383057,1.9292216300964355,1.3889641761779785
85,2006-03-28,4.450551986694336,1.5481733083724976,1.2442561388015747
86,2006-03-29,6.730875492095947,1.2870465517044067,1.1344807147979736
