,Timestep,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSVAR,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSSTD
24908,2074-03-14,15.728571891784668,2.952103614807129,1.7181687355041504
24909,2074-03-15,19.088415145874023,11.52707290649414,3.3951542377471924
24910,2074-03-16,24.975303649902344,4.661810874938965,2.1591227054595947
24911,2074-03-17,19.54859733581543,4.1319451332092285,2.0327186584472656
24912,2074-03-18,21.473827362060547,2.8375041484832764,1.6844892501831055
24913,2074-03-19,19.893596649169922,4.542361736297607,2.131281614303589
24914,2074-03-20,23.186193466186523,5.566617012023926,2.359367847442627
24915,2074-03-21,18.81920051574707,4.2909626960754395,2.0714638233184814
24916,2074-03-22,18.501230239868164,4.595915794372559,2.143808603286743
24917,2074-03-23,22.617229461669922,2.730586290359497,1.6524485349655151
24918,2074-03-24,24.555444717407227,4.455914497375488,2.110903739929199
24919,2074-03-25,23.570188522338867,3.154726505279541,1.7761549949645996
24920,2074-03-26,22.98807144165039,4.054477214813232,2.013573169708252
24921,2074-03-27,20.399568557739258,3.360733985900879,1.8332304954528809
24922,2074-03-28,12.343362808227539,3.750138521194458,1.9365274906158447
24923,2074-03-29,16.77849578857422,3.5563619136810303,1.8858318328857422
24924,2074-03-30,17.905742645263672,2.9237420558929443,1.709895372390747
24925,2074-03-31,24.116172790527344,5.642349720001221,2.3753631114959717
24926,2074-04-01,25.806215286254883,2.6012017726898193,1.6128242015838623
24927,2074-04-02,17.897518157958984,4.040727615356445,2.0101561546325684
24928,2074-04-03,16.32404136657715,7.053717136383057,2.655883550643921
24929,2074-04-04,19.00465965270996,5.321324825286865,2.3067996501922607
24930,2074-04-05,27.5432071685791,2.7072973251342773,1.6453866958618164
24931,2074-04-06,22.76074981689453,3.1536777019500732,1.7758597135543823
24932,2074-04-07,23.41901969909668,3.021132707595825,1.73814058303833
24933,2074-04-08,16.853260040283203,4.141725540161133,2.035122871398926
24934,2074-04-09,17.854455947875977,4.481115818023682,2.1168646812438965
24935,2074-04-10,22.840412139892578,4.672102451324463,2.1615047454833984
24936,2074-04-11,28.04996681213379,2.6195273399353027,1.6184953451156616
24937,2074-04-12,21.955846786499023,2.2791378498077393,1.5096813440322876
24938,2074-04-13,22.548233032226562,9.459254264831543,3.075590133666992
24939,2074-04-14,25.72022819519043,2.7200539112091064,1.6492586135864258
24940,2074-04-15,28.160449981689453,2.551929473876953,1.5974760055541992
24941,2074-04-16,27.281269073486328,3.7592101097106934,1.9388682842254639
24942,2074-04-17,29.21031951904297,4.116518497467041,2.0289204120635986
24943,2074-04-18,14.884431838989258,3.885512351989746,1.9711703062057495
24944,2074-04-19,15.149046897888184,6.511361598968506,2.551737070083618
24945,2074-04-20,19.105575561523438,3.5899453163146973,1.8947150707244873
24946,2074-04-21,20.11677360534668,2.7128894329071045,1.647085189819336
24947,2074-04-22,25.61626434326172,4.073545455932617,2.0183026790618896
24948,2074-04-23,23.807889938354492,3.5168309211730957,1.8753215074539185
24949,2074-04-24,22.758365631103516,4.687100410461426,2.164971113204956
24950,2074-04-25,28.4317626953125,4.7518157958984375,2.179866075515747
24951,2074-04-26,30.13738250732422,4.004068374633789,2.001016855239868
24952,2074-04-27,27.23910903930664,12.419648170471191,3.5241520404815674
24953,2074-04-28,31.292678833007812,6.226980686187744,2.495391845703125
24954,2074-04-29,30.242387771606445,3.0900630950927734,1.7578575611114502
24955,2074-04-30,25.18958282470703,3.7087061405181885,1.925800085067749
24956,2074-05-01,27.659570693969727,4.6548309326171875,2.157505750656128
24957,2074-05-02,24.47921371459961,3.2050631046295166,1.7902690172195435
24958,2074-05-03,25.008628845214844,3.558260202407837,1.8863351345062256
24959,2074-05-04,20.04326820373535,3.9782841205596924,1.9945636987686157
24960,2074-05-05,23.56658363342285,3.0337674617767334,1.7417713403701782
24961,2074-05-06,27.260221481323242,3.096238613128662,1.7596131563186646
24962,2074-05-07,28.02651596069336,3.8418943881988525,1.9600751399993896
24963,2074-05-08,29.31756019592285,3.246816873550415,1.801892638206482
24964,2074-05-09,30.321203231811523,2.9911751747131348,1.7295013666152954
24965,2074-05-10,29.482284545898438,4.436441898345947,2.1062862873077393
24966,2074-05-11,32.33706283569336,4.2065300941467285,2.050982713699341
24967,2074-05-12,33.21873474121094,3.3981189727783203,1.8433988094329834
24968,2074-05-13,30.773466110229492,3.2950329780578613,1.8152226209640503
24969,2074-05-14,30.968904495239258,3.315955877304077,1.8209766149520874
24970,2074-05-15,30.902517318725586,3.977377414703369,1.9943363666534424
24971,2074-05-16,24.55194854736328,2.7233481407165527,1.6502569913864136
24972,2074-05-17,28.06340789794922,2.822272777557373,1.679962158203125
24973,2074-05-18,29.441190719604492,4.462081432342529,2.1123640537261963
24974,2074-05-19,28.690025329589844,4.189697265625,2.046875
24975,2074-05-20,28.65553092956543,4.1072821617126465,2.0266430377960205
24976,2074-05-21,28.702228546142578,3.9732394218444824,1.9932986497879028
24977,2074-05-22,30.747543334960938,2.6320996284484863,1.6223746538162231
24978,2074-05-23,30.400754928588867,3.2155487537384033,1.793195128440857
24979,2074-05-24,30.90635108947754,4.443012714385986,2.1078455448150635
24980,2074-05-25,32.92949676513672,3.2878034114837646,1.8132301568984985
24981,2074-05-26,32.789825439453125,3.1175074577331543,1.7656464576721191
24982,2074-05-27,33.039974212646484,3.5892703533172607,1.8945369720458984
24983,2074-05-28,32.6618766784668,3.514235496520996,1.8746293783187866
24984,2074-05-29,31.35347557067871,3.0252304077148438,1.7393189668655396
24985,2074-05-30,28.73293113708496,4.769030570983887,2.1838109493255615
24986,2074-05-31,30.768102645874023,4.344422817230225,2.0843279361724854
